"name","url","license","licenseUrl","advisoryUrl"
"chakra-ui/chakra-ui","https://github.com/chakra-ui/chakra-ui","MIT License","http://choosealicense.com/licenses/mit/","https://github.com/chakra-ui/chakra-ui/security/advisories"
"emotion-js/emotion","https://github.com/emotion-js/emotion","MIT License","http://choosealicense.com/licenses/mit/","https://github.com/emotion-js/emotion/security/advisories"
"framer/motion","https://github.com/framer/motion","MIT License","http://choosealicense.com/licenses/mit/","https://github.com/framer/motion/security/advisories"
"zemirco/json2csv","https://github.com/zemirco/json2csv","MIT License","http://choosealicense.com/licenses/mit/","https://github.com/zemirco/json2csv/security/advisories"
"vercel/next.js","https://github.com/vercel/next.js","MIT License","http://choosealicense.com/licenses/mit/","https://github.com/vercel/next.js/security/advisories"
"node-fetch/node-fetch","https://github.com/node-fetch/node-fetch","MIT License","http://choosealicense.com/licenses/mit/","https://github.com/node-fetch/node-fetch/security/advisories"
"octokit/octokit.js","https://github.com/octokit/octokit.js","MIT License","http://choosealicense.com/licenses/mit/","https://github.com/octokit/octokit.js/security/advisories"
"facebook/react","https://github.com/facebook/react","MIT License","http://choosealicense.com/licenses/mit/","https://github.com/facebook/react/security/advisories"
"microsoft/TypeScript","https://github.com/microsoft/TypeScript","Apache License 2.0","http://choosealicense.com/licenses/apache-2.0/","https://github.com/microsoft/TypeScript/security/advisories"
"eslint/eslint","https://github.com/eslint/eslint","MIT License","http://choosealicense.com/licenses/mit/","https://github.com/eslint/eslint/security/advisories"